Bytes,Process,PID
260B,systemd-resolve,722
2.10KB,systemd-resolve,722
156B,systemd-resolve,722
156B,systemd-resolve,722
2.31KB,systemd-resolve,722
260B,systemd-resolve,722
260B,systemd-resolve,722
2.06KB,systemd-resolve,722
260B,systemd-resolve,722
208B,systemd-resolve,722
2.10KB,systemd-resolve,722
208B,systemd-resolve,722
208B,systemd-resolve,722
2.02KB,systemd-resolve,722
260B,systemd-resolve,722
156B,systemd-resolve,722
2.23KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
1.93KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
2.06KB,systemd-resolve,722
260B,systemd-resolve,722
156B,systemd-resolve,722
2.14KB,systemd-resolve,722
312B,systemd-resolve,722
208B,systemd-resolve,722
2.10KB,systemd-resolve,722
208B,systemd-resolve,722
260B,systemd-resolve,722
2.10KB,systemd-resolve,722
260B,systemd-resolve,722
208B,systemd-resolve,722
2.18KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
2.35KB,systemd-resolve,722
208B,systemd-resolve,722
260B,systemd-resolve,722
1.97KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
2.02KB,systemd-resolve,722
208B,systemd-resolve,722
260B,systemd-resolve,722
2.27KB,systemd-resolve,722
208B,systemd-resolve,722
260B,systemd-resolve,722
2.14KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
2.06KB,systemd-resolve,722
156B,systemd-resolve,722
312B,systemd-resolve,722
2.10KB,systemd-resolve,722
260B,systemd-resolve,722
260B,systemd-resolve,722
2.06KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
2.02KB,systemd-resolve,722
312B,systemd-resolve,722
260B,systemd-resolve,722
2.06KB,systemd-resolve,722
260B,systemd-resolve,722
156B,systemd-resolve,722
1.93KB,systemd-resolve,722
208B,systemd-resolve,722
156B,systemd-resolve,722
2.14KB,systemd-resolve,722
208B,systemd-resolve,722
312B,systemd-resolve,722
2.23KB,systemd-resolve,722
208B,systemd-resolve,722
208B,systemd-resolve,722
2.10KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
2.02KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
1.97KB,systemd-resolve,722
260B,systemd-resolve,722
260B,systemd-resolve,722
2.14KB,systemd-resolve,722
312B,systemd-resolve,722
260B,systemd-resolve,722
2.10KB,systemd-resolve,722
208B,systemd-resolve,722
312B,systemd-resolve,722
1.97KB,systemd-resolve,722
260B,systemd-resolve,722
208B,systemd-resolve,722
2.10KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
2.02KB,systemd-resolve,722
208B,systemd-resolve,722
156B,systemd-resolve,722
1.93KB,systemd-resolve,722
156B,systemd-resolve,722
260B,systemd-resolve,722
2.10KB,systemd-resolve,722
208B,systemd-resolve,722
2.65KB,systemd-resolve,722
208B,systemd-resolve,722
260B,systemd-resolve,722
2.18KB,systemd-resolve,722
260B,systemd-resolve,722
135B,systemd-resolve,722
225B,systemd-resolve,722
180B,systemd-resolve,722
395B,systemd-resolve,722
225B,systemd-resolve,722
2.14KB,systemd-resolve,722
260B,systemd-resolve,722
135B,systemd-resolve,722
208B,systemd-resolve,722
1.85KB,systemd-resolve,722
260B,systemd-resolve,722
208B,systemd-resolve,722
2.14KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
1.85KB,systemd-resolve,722
208B,systemd-resolve,722
208B,systemd-resolve,722
2.31KB,systemd-resolve,722
208B,systemd-resolve,722
208B,systemd-resolve,722
1.89KB,systemd-resolve,722
156B,systemd-resolve,722
156B,systemd-resolve,722
2.14KB,systemd-resolve,722
208B,systemd-resolve,722
1.81KB,systemd-resolve,722
208B,systemd-resolve,722
104B,systemd-resolve,722
52B,systemd-resolve,722
2.06KB,systemd-resolve,722
208B,systemd-resolve,722
156B,systemd-resolve,722
2.39KB,systemd-resolve,722
208B,systemd-resolve,722
208B,systemd-resolve,722
1.93KB,systemd-resolve,722
260B,systemd-resolve,722
260B,systemd-resolve,722
2.14KB,systemd-resolve,722
260B,systemd-resolve,722
260B,systemd-resolve,722
2.10KB,systemd-resolve,722
156B,systemd-resolve,722
312B,systemd-resolve,722
2.14KB,systemd-resolve,722
156B,systemd-resolve,722
208B,systemd-resolve,722
2.14KB,systemd-resolve,722
