"oper_id","title","business_type","method","request_method","operator_type","oper_name","dept_name","oper_url","oper_ip","oper_location","oper_param","json_result","status","error_msg","oper_time"
1,用户头像,2,com.fastbee.web.controller.system.SysProfileController.avatar(),POST,1,admin,,/system/user/profile/avatar,"127.0.0.1",内网IP,"","{""msg"":""操作成功"",""imgUrl"":""/profile/avatar/2024/11/18/blob_20241118190544A001.png"",""code"":200}",0,,"2024-11-18 19:05:44"
2,个人信息,2,com.fastbee.web.controller.system.SysProfileController.updateProfile(),PUT,1,admin,,/system/user/profile,"127.0.0.1",内网IP,"{""admin"":true,""createBy"":""admin"",""createTime"":""2021-12-15 21:36:18"",""delFlag"":""0"",""dept"":{""ancestors"":""0"",""children"":[],""deptId"":100,""deptName"":""蜂信物联"",""deptUserId"":1,""deptUserName"":""admin"",""leader"":""FastBee"",""orderNum"":0,""params"":{},""parentId"":0,""status"":""0""},""deptId"":100,""email"":""164770707@qq.com"",""loginDate"":""2024-11-18 18:58:55"",""loginIp"":""127.0.0.1"",""nickName"":""蜂信管理员"",""params"":{},""phonenumber"":""15888888888"",""remark"":""管理员"",""roles"":[{""admin"":true,""dataScope"":""1"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":1,""roleKey"":""admin"",""roleName"":""超级管理员"",""roleSort"":1,""status"":""0""}],""sex"":""0"",""status"":""0"",""userId"":1,""userName"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 19:05:47"
3,个人信息,2,com.fastbee.web.controller.system.SysProfileController.updateProfile(),PUT,1,admin,,/system/user/profile,"127.0.0.1",内网IP,"{""admin"":true,""createBy"":""admin"",""createTime"":""2021-12-15 21:36:18"",""delFlag"":""0"",""dept"":{""ancestors"":""0"",""children"":[],""deptId"":100,""deptName"":""蜂信物联"",""deptUserId"":1,""deptUserName"":""admin"",""leader"":""FastBee"",""orderNum"":0,""params"":{},""parentId"":0,""status"":""0""},""deptId"":100,""email"":""164770707@qq.com"",""loginDate"":""2024-11-18 18:58:55"",""loginIp"":""127.0.0.1"",""nickName"":""管理员"",""params"":{},""phonenumber"":""15888888888"",""remark"":""管理员"",""roles"":[{""admin"":true,""dataScope"":""1"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":1,""roleKey"":""admin"",""roleName"":""超级管理员"",""roleSort"":1,""status"":""0""}],""sex"":""0"",""status"":""0"",""userId"":1,""userName"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 19:05:54"
4,添加产品,1,com.fastbee.data.controller.ProductController.add(),POST,1,admin,,/iot/product,"127.0.0.1",内网IP,"{""categoryId"":7,""categoryName"":""其他"",""createTime"":""2024-11-18 19:55:55.435"",""deviceType"":2,""imgUrl"":"""",""isAuthorize"":0,""isSys"":0,""locationWay"":1,""mqttAccount"":""FastBee"",""mqttPassword"":""P1G81E04079TJY60"",""mqttSecret"":""K0V2W0Z913841P1Q"",""networkMethod"":1,""params"":{},""productId"":136,""productName"":""mqtt测试"",""protocolCode"":""JSON"",""status"":1,""tenantId"":1,""tenantName"":""admin"",""transport"":""MQTT"",""vertificateMethod"":3}","{""msg"":""操作成功"",""code"":200,""data"":{""categoryId"":7,""categoryName"":""其他"",""createTime"":""2024-11-18 19:55:55.435"",""deviceType"":2,""imgUrl"":"""",""isAuthorize"":0,""isSys"":0,""locationWay"":1,""mqttAccount"":""FastBee"",""mqttPassword"":""P1G81E04079TJY60"",""mqttSecret"":""K0V2W0Z913841P1Q"",""networkMethod"":1,""params"":{},""productId"":136,""productName"":""mqtt测试"",""protocolCode"":""JSON"",""status"":1,""tenantId"":1,""tenantName"":""admin"",""transport"":""MQTT"",""vertificateMethod"":3}}",0,,"2024-11-18 19:55:55"
5,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":2}","{""msg"":""发布失败，请先添加产品的物模型"",""code"":500}",0,,"2024-11-18 19:59:02"
6,物模型,1,com.fastbee.data.controller.ThingsModelController.add(),POST,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createTime"":""2024-11-18 19:59:47.682"",""datatype"":""integer"",""identifier"":""kwh"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":883,""modelName"":""电量"",""modelOrder"":0,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":0,\""max\"":100,\""unit\"":\""\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 19:59:47"
7,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":2}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 19:59:51"
8,添加设备,1,com.fastbee.data.controller.DeviceController.add(),POST,1,admin,,/iot/device,"127.0.0.1",内网IP,"{""createTime"":""2024-11-18 20:00:38.407"",""deviceId"":229,""deviceName"":""mqtt-test"",""deviceType"":2,""firmwareVersion"":1,""imgUrl"":"""",""isShadow"":0,""isSimulate"":0,""locationWay"":1,""networkAddress"":""内网IP"",""networkIp"":""127.0.0.1"",""params"":{},""productId"":136,""productName"":""mqtt测试"",""rssi"":0,""serialNumber"":""D10R749Q103N"",""status"":1,""subDeviceList"":[],""tenantId"":1,""tenantName"":""admin"",""thingsModelValue"":""[{\""id\"":\""kwh\"",\""isChart\"":0,\""isHistory\"":0,\""isMonitor\"":0,\""isReadonly\"":0,\""name\"":\""电量\"",\""shadow\"":\""\"",\""value\"":\""\""}]""}","{""msg"":""操作成功"",""code"":200,""data"":{""createTime"":""2024-11-18 20:00:38.407"",""deviceId"":229,""deviceName"":""mqtt-test"",""deviceType"":2,""firmwareVersion"":1,""imgUrl"":"""",""isShadow"":0,""isSimulate"":0,""locationWay"":1,""networkAddress"":""内网IP"",""networkIp"":""127.0.0.1"",""params"":{},""productId"":136,""productName"":""mqtt测试"",""rssi"":0,""serialNumber"":""D10R749Q103N"",""status"":1,""subDeviceList"":[],""tenantId"":1,""tenantName"":""admin"",""thingsModelValue"":""[{\""id\"":\""kwh\"",\""isChart\"":0,\""isHistory\"":0,\""isMonitor\"":0,\""isReadonly\"":0,\""name\"":\""电量\"",\""shadow\"":\""\"",\""value\"":\""\""}]""}}",0,,"2024-11-18 20:00:38"
9,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 20:20:50"
10,物模型,1,com.fastbee.data.controller.ThingsModelController.add(),POST,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createTime"":""2024-11-18 20:21:45.213"",""datatype"":""integer"",""identifier"":""kwha"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":884,""modelName"":""总电量"",""modelOrder"":1,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":1,\""max\"":1000000,\""unit\"":\""kwh\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 20:21:45"
11,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":2}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-18 20:22:01"
12,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:01:00"
13,物模型,2,com.fastbee.data.controller.ThingsModelController.edit(),PUT,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createBy"":"""",""createTime"":""2024-11-18 20:21:45"",""datatype"":""integer"",""delFlag"":""0"",""identifier"":""kwhc"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":884,""modelName"":""总电量"",""modelOrder"":1,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":1,\""max\"":100,\""unit\"":\""kwh\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1,""updateBy"":"""",""updateTime"":""2024-11-19 15:01:24.286""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:01:24"
14,物模型,2,com.fastbee.data.controller.ThingsModelController.edit(),PUT,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createBy"":"""",""createTime"":""2024-11-18 20:21:45"",""datatype"":""integer"",""delFlag"":""0"",""identifier"":""kwhc"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":884,""modelName"":""总电量"",""modelOrder"":9,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":1,\""max\"":100,\""unit\"":\""kwh\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1,""updateBy"":"""",""updateTime"":""2024-11-19 15:01:42.296""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:01:42"
15,物模型,2,com.fastbee.data.controller.ThingsModelController.edit(),PUT,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createBy"":"""",""createTime"":""2024-11-18 19:59:48"",""datatype"":""integer"",""delFlag"":""0"",""identifier"":""kwha"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":883,""modelName"":""电表a"",""modelOrder"":0,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":0,\""max\"":100,\""unit\"":\""\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1,""updateBy"":"""",""updateTime"":""2024-11-19 15:01:59.931""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:01:59"
16,物模型,2,com.fastbee.data.controller.ThingsModelController.edit(),PUT,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createBy"":"""",""createTime"":""2024-11-18 19:59:48"",""datatype"":""integer"",""delFlag"":""0"",""identifier"":""kwha"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":883,""modelName"":""电表a"",""modelOrder"":3,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":0,\""max\"":100,\""unit\"":\""\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1,""updateBy"":"""",""updateTime"":""2024-11-19 15:02:09.226""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:02:09"
17,物模型,1,com.fastbee.data.controller.ThingsModelController.add(),POST,1,admin,,/iot/model,"127.0.0.1",内网IP,"{""createTime"":""2024-11-19 15:02:35.936"",""datatype"":""integer"",""identifier"":""kwhb"",""isChart"":1,""isHistory"":1,""isMonitor"":1,""isReadonly"":1,""isSharePerm"":1,""modelId"":885,""modelName"":""电表2"",""modelOrder"":1,""params"":{},""productId"":136,""productName"":""mqtt测试"",""specs"":""{\""type\"":\""integer\"",\""min\"":1,\""max\"":100,\""unit\"":\""\"",\""step\"":1}"",""tenantId"":1,""tenantName"":""admin"",""type"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:02:35"
18,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":2,""productId"":136,""status"":2}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:02:41"
19,新闻资讯,3,com.fastbee.data.controller.NewsController.remove(),DELETE,1,admin,,"/iot/news/8,7,6,5,4,3,2,1","127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:46:46"
20,第三方登录平台控制,3,com.fastbee.data.controller.SocialPlatformController.remove(),DELETE,1,admin,,"/iot/platform/1,2,3,4,5,6","127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:46:57"
21,新闻分类,3,com.fastbee.data.controller.NewsCategoryController.remove(),DELETE,1,admin,,"/iot/newsCategory/2,1","127.0.0.1",内网IP,{},"{""msg"":""删除成功"",""code"":200}",0,,"2024-11-19 15:47:03"
22,通知公告,3,com.fastbee.web.controller.system.SysNoticeController.remove(),DELETE,1,admin,,"/system/notice/1,2","127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:47:22"
23,机构管理,2,com.fastbee.web.controller.system.SysDeptController.edit(),PUT,1,admin,,/system/dept,"127.0.0.1",内网IP,"{""ancestors"":""0"",""children"":[],""deptId"":100,""deptName"":""信通公司"",""deptType"":1,""deptUserId"":1,""email"":""164770707@qq.com"",""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":0,""phone"":""15888888888"",""showOwner"":true,""status"":""0"",""updateBy"":""admin"",""userName"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:51:26"
24,机构管理,2,com.fastbee.web.controller.system.SysDeptController.edit(),PUT,1,admin,,/system/dept,"127.0.0.1",内网IP,"{""ancestors"":""0,100"",""children"":[],""deptId"":101,""deptName"":""web端注册用户归属机构"",""deptType"":2,""deptUserId"":7,""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":100,""parentName"":""信通公司"",""phone"":""15888888885"",""showOwner"":true,""status"":""0"",""updateBy"":""admin"",""userName"":""fastbee-web""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:51:38"
